feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11
-0.39724857,0.33928213,-0.6922465,-1.2351444,-0.4683453,0.43607363,-0.6176125,0.012451971,-0.8798339,0.3755721,-0.47230142,0.4854142
-0.20065063,0.7643636,1.6959006,0.495815,-0.9220986,-0.57222617,0.17494649,-1.3183393,0.48823512,1.3964431,0.0063811247,1.7921603
-1.0666734,0.7448448,0.653163,-0.08801028,-0.28481394,0.060684472,-0.26257667,-1.08894,0.61252254,0.13696682,-0.2589897,0.019882822
-0.015285778,0.07865986,-0.09993806,-0.08464685,-0.043334454,-0.19571532,0.055966314,-0.26817286,-0.24232444,0.064753905,-0.20071796,0.07728013
-0.18819413,0.10391704,-0.19477239,-0.8442414,-0.12227591,-0.45733505,0.31179026,-0.21946993,-0.19359478,-0.90223414,-0.57561105,-0.28591102
-0.4994261,1.6549875,1.152361,-1.0023577,-0.4633999,-0.7203523,-0.023170486,-1.3236738,-0.22150679,0.4417127,-0.4296527,0.014783112
-0.14303912,0.48956648,0.6548386,-0.9056519,-0.11731789,-0.20710556,0.15958203,0.44931784,0.41925052,-0.93587106,0.3359071,-0.5721071
0.7374635,-1.0827583,-0.68931377,-0.095544934,0.04886918,0.14123125,-0.2709003,0.7254282,0.012221858,0.14364389,0.20917116,-0.327233
0.33353412,-0.10486415,0.56092227,0.024717579,0.08941777,-0.05513619,-0.1941965,0.6962129,0.07643852,-0.1609909,0.579149,-0.13416407
-0.768049,0.061450005,0.6290404,-0.40646407,-0.7416637,-0.12357824,0.33815634,-0.76636803,1.0924076,-0.87887967,-0.26547584,0.2536698
0.5367781,-2.0363255,-2.0306995,0.28536552,-0.19024512,1.0366772,-0.558771,1.3935698,0.5502382,0.64632213,-0.018186115,-0.5198794
0.73803663,-0.58957547,-0.9964897,-0.22957376,0.31613642,-0.03930423,-0.26685888,0.5046841,-0.9794896,1.4349899,-0.09591291,-0.6035107
0.1499936,-0.8233636,-0.864994,-0.08875456,-0.019166013,0.4837442,-0.50571364,0.7687586,-0.21122733,0.40745163,0.21753515,-0.47128433
0.546756,0.026210502,0.269834,0.39188004,0.06245265,-0.5594388,0.78419125,-0.6074632,0.9268961,-0.99415445,-0.3131767,-0.018009398
-0.09268231,0.08376479,0.07673912,-0.5607862,-0.21314676,-0.022882411,0.3018646,0.18806677,0.17354494,-0.77428675,-0.06396792,-0.07476365
0.46229103,-0.1702095,-0.08907385,-0.5875511,0.12484637,-0.4138235,-0.16044872,0.27451557,-0.4200047,0.013282595,0.001560139,-0.42058927
0.061790805,-0.4828969,-0.6351508,-0.31865633,-0.027147973,0.28093913,-0.6643862,0.43437713,-0.38290915,0.06581621,0.21870314,-0.23688784
0.28017372,-0.10948658,-0.022677697,0.49074107,0.12810768,-0.37587893,0.4871863,-0.5263326,0.21582353,-0.17244004,-0.355566,0.16539253
-0.00027839871,0.00758912,-0.08821902,-0.13111581,-0.041116737,-0.21037588,0.032899715,-0.21121404,-0.18446006,-0.054229356,-0.14183909,-0.0028651562
-1.0292895,0.5102335,0.15839282,0.013951151,-0.5854521,-0.15489574,0.29855096,-1.3551041,0.47978604,-0.40660873,-1.0058616,0.31569567
0.33417743,-0.033592448,-0.91893977,0.87225336,0.96256655,-0.37978026,0.9074885,-0.47454867,0.21067806,-0.08415869,-1.0583546,-1.0178635
-0.18952443,-0.12238691,-0.3662731,-0.95112896,-0.22381246,-0.47188368,0.2556992,-0.21646358,-0.37571916,-0.93127406,-0.7659203,-0.060803715
