feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15
-0.10774603,-0.29087594,0.33986586,-0.14478786,-0.11020817,0.7227132,1.2497334,-0.6011687,0.09195461,0.15775064,0.23277251,-0.4465506,-0.8169208,-0.06366182,-1.26065,-0.28021428
0.5557679,-0.2534286,-1.0936841,1.6953002,0.7218367,1.0123495,-1.4495646,1.188518,2.117894,-0.53006417,1.5207578,-0.2219915,2.31776,0.01412149,-1.5692166,-0.29827505
-0.33684963,0.13899916,0.08652339,0.40884277,0.4204461,1.0799215,-0.32192048,-0.068604484,1.081492,-0.76740044,-0.4593111,0.6474942,0.35440704,0.25611252,-0.8394858,-0.48817503
0.05459047,0.07963742,0.010795752,0.048281882,0.25185996,0.017864563,-0.08912612,-0.15890604,0.21097732,-0.18635608,0.043654434,0.2627521,-0.049895577,-0.19183153,-0.30840003,-0.17269792
-0.43228644,0.4353601,-0.169127,0.43614894,0.6748393,0.18754663,0.05667541,-0.18260248,-0.29216185,0.28956607,-0.350712,0.52257574,-0.093408406,-0.672633,-0.23846105,-0.33294943
-0.4528696,0.047942773,-0.20216814,1.1543621,0.6825111,1.1295321,-0.5010725,-0.41522965,1.6521622,-1.0168425,0.025339365,1.0594515,0.28294608,-0.6053477,-1.7486367,-0.40292078
-0.3637682,0.5748013,0.45131195,-0.8839673,0.36793417,0.9256563,-0.5443897,-0.66744787,-0.14997423,0.38687754,-0.32943586,0.9599208,-0.057280194,-0.40898418,-0.09183018,-0.13144726
-0.07016763,-0.19046198,0.059408095,-0.72442347,-0.1216609,-0.6003035,0.7755319,0.6754873,-0.72052985,0.83106524,-0.15694803,-0.35527557,-0.115838684,-0.043852743,0.38065112,0.6074725
0.078613415,0.08917176,0.39657074,-0.9535369,-0.04027924,0.16435194,-0.33710992,-0.082470946,0.31722608,0.38888034,0.12031121,0.5882826,0.2648579,-0.040766545,0.24351421,0.20061453
-0.45866886,0.47771215,0.036257878,0.70224977,1.0470495,1.5336474,-0.59733015,0.19163302,0.04878896,-0.04405214,-0.61297655,0.117522635,0.54873323,0.17675638,-0.13484727,-0.76674443
-0.7462805,-0.4941601,-0.18224981,-1.343951,0.08878565,-1.1426126,1.4323201,1.7392049,-0.61728746,0.48311874,-0.27981466,-1.0931352,0.29154798,1.1716788,0.5401115,1.1952614
0.03553398,-0.305601,0.38497958,-0.9327281,0.07816537,-1.2680365,1.216184,0.3883061,0.25715885,-0.44114065,0.6640218,0.05040492,-0.07578525,-0.20994927,-0.6681586,0.99782836
-0.14274631,-0.20611866,0.2137868,-0.7481573,-0.3189621,-0.3751451,1.3320981,0.14187878,-0.49690318,0.69617045,-0.18129751,-0.58025295,-0.22720104,0.0011430278,-0.08969894,0.27890858
-0.26852384,0.35575682,-0.3065141,0.6266442,1.5070033,0.034263253,-1.1034461,0.9424474,0.2668586,0.05462208,0.3402873,0.4461642,0.83763236,-0.53805137,0.40620837,-0.30658567
-0.33992204,0.31552652,0.16885594,-0.19688568,0.42371312,0.41228443,-0.1305718,-0.33332172,-0.44056115,0.41371378,-0.3950336,0.41424334,0.07237434,-0.25544262,0.157202,-0.2441944
0.2531649,0.08903552,0.2053597,-0.59120685,0.025762567,-0.33033425,0.57849866,-0.19058067,-0.4208727,0.44564617,0.1431756,0.5338322,-0.5831039,-0.75088876,-0.3056578,0.3528242
-0.02826119,-0.10290813,0.37939948,-0.59923875,-0.25164095,-0.06348258,0.92146015,-0.29935414,-0.24276015,0.46844572,-0.08273258,-0.1668494,-0.16621615,-0.07349584,-0.12199332,0.13667963
0.049138088,0.034099415,-0.23089235,0.3844651,0.7318,-0.16046274,-0.5498031,0.6081617,0.22488067,0.0071146726,0.24702905,0.08050098,0.5263624,-0.23923832,0.16203035,-0.16529256
0.043721624,0.07385678,0.04566133,-0.0022539445,0.25003803,-0.050375525,-0.022961574,-0.20844688,0.038524006,-0.05570999,0.028343866,0.26422834,-0.09668414,-0.25824803,-0.22701667,-0.12169659
-0.39498463,0.13110065,0.041908875,1.1877133,1.0071468,0.8756303,-0.23932727,0.26659137,0.36301202,-0.81258875,-0.700613,0.30406946,0.90814054,0.072226785,-0.61668783,-0.7094786
-0.69597226,0.069077775,0.4163843,-0.91162246,1.1492567,-1.47109,-0.37043685,1.0412983,0.046059873,-0.7165489,-0.1758787,0.52953494,0.31266242,0.032482337,0.1494009,0.5091433
-0.32078627,0.5383041,-0.42487004,0.58569723,0.64406043,0.09356142,0.4720571,0.054983858,-0.40315506,0.2516386,-0.18649928,0.10571361,-0.37662685,-0.66332847,-0.53433216,-0.44341862
-0.079439215,0.23075904,-0.0792799,0.1784344,0.29308322,0.14432853,0.63087606,-0.114625774,-0.09604204,-0.43036795,-0.02333497,-0.1281662,-0.535258,-0.09042201,-0.8562643,-0.37378046
0.10757193,0.51739687,-0.7922598,1.3961998,1.1195315,0.52035517,-0.6596007,0.5926197,0.20264004,0.67243534,0.32564473,0.18730983,0.7704256,-1.024588,0.20862848,-0.5943544
-0.28814888,0.2863433,-0.12945244,0.13680229,0.31362152,-0.0013072585,0.4019227,0.097257145,-0.5664412,0.49116108,-0.32383257,-0.15442228,-0.24651495,-0.20716785,-0.0053743254,-0.2753263
-0.293307,0.51459867,0.31483975,-0.9304895,0.40661994,-0.29075196,1.4334552,-0.64751494,-0.65820223,-0.1370832,-0.09480838,0.13465774,-1.3083414,-0.6497748,-1.3205338,-0.016411208
0.022829272,0.054731995,-0.5039315,0.5312774,0.5766952,0.33506918,-1.0090964,0.1697706,1.588135,-0.45181397,0.6170354,0.70843583,0.5371382,-0.5984181,-1.0461222,-0.30662623
-0.021447413,0.31105018,-0.37993392,0.9414947,0.86797285,0.5008809,-0.49691364,0.4332071,0.11759301,0.30875894,0.12645367,0.039423965,0.6087866,-0.39811665,0.13476121,-0.46364492
-0.5813792,0.54145473,-0.2737045,0.5182884,0.6341372,1.0913206,0.1940587,-0.2358479,0.06707646,0.14788674,-0.5204947,0.32689884,-0.27372545,-0.23506646,-0.61396426,-0.5637059
