feat_0,feat_1,feat_2,feat_3
-0.19633493,1.0013366,0.31166685,-0.2826754
2.5650635,-1.4630997,1.9447805,-1.0915636
0.526133,0.19396378,1.6225735,-0.9679929
-0.10116314,0.14577861,0.28703344,-0.48707718
-1.2306364,0.5226867,0.35435846,-0.60765237
0.7110429,0.77839816,1.9460748,-0.96633995
-0.7569035,0.28927302,0.739469,0.14754272
-0.756191,-0.8263355,-1.3918349,-0.47055504
0.10294522,-0.38820443,0.24024786,0.33805433
-0.40646273,0.13099076,1.8016485,-0.72683346
-0.9579097,-1.951524,-2.795405,-0.10680777
0.5078587,0.15070328,-0.8253684,-0.20505592
-0.6700063,-0.544996,-1.1897801,0.1443011
-0.5408735,-1.1217924,0.52150565,-1.1641827
-1.0417134,0.13172323,0.35975915,-0.05631357
-0.17587623,0.25991267,-0.22809866,-0.17314996
-0.53663325,-0.13563268,-0.51626825,0.25180262
-0.10551209,-0.8394698,0.045563966,-0.98897815
-0.16827242,0.08912332,0.116802454,-0.36649522
0.0061889356,0.44442123,1.6868383,-1.6536523
-0.39472708,-0.71830434,-0.513879,-1.075709
-1.4340658,0.7245647,0.07573518,-0.7186552
-0.6883384,0.9304373,0.21242917,-0.8555
-0.52914673,-0.60101116,0.8039059,-1.0050925
-1.416244,0.15456624,-0.33873358,-0.35113227
-0.58916223,1.2047226,-0.5352667,-0.29046822
0.9980487,-0.2963362,1.01954,-0.7176168
-0.36459267,-0.52127343,0.7965863,-0.87472904
-1.0951316,0.99355435,1.0275373,-0.6744163
1.021142,-0.5094353,0.59521085,-0.7139431
-0.9984703,0.30472335,-0.21663457,-0.41070145
0.25051102,0.46296152,0.35263288,-0.05988987
0.20853001,-1.5666947,-0.3759522,0.59682363
-1.7354125,0.11829971,-1.8625742,0.88969094
-1.0481923,0.6932353,0.3652733,-0.16196966
0.45539513,-0.49871573,0.43980432,-0.73306525
-0.6101092,1.4102129,0.78815,-1.4610196
-0.9912547,0.26516744,-0.38275102,0.6062426
-0.44108286,0.38302812,0.2106615,1.139619
-0.2208563,0.13733913,0.14704596,0.38652006
-0.7183682,0.6674174,1.2492296,-0.736462
-0.086320244,0.037831783,0.15202987,-0.6019139
0.8276981,-0.4830195,0.39998424,-0.37668878
0.116731845,-1.72939,-2.857833,0.64660776
-0.5385161,-1.0985233,0.11021584,-1.0829343
-1.1026024,1.057987,-0.049571395,-0.69566125
-0.073499285,-0.059386853,0.48709077,-0.38696766
0.8557837,-0.89943945,-0.5323783,0.19600677
0.44890922,0.16772792,-0.9394126,0.19703132
0.17039685,0.08300471,0.009135178,-0.04256393
0.2673091,-0.7118857,0.37007192,-0.19385447
-0.0872478,0.09807189,-0.0054707034,-0.16697946
-1.1314993,0.40021378,-0.31475973,-0.5216361
-0.0070256228,-1.3015788,-2.07337,1.2341923
0.4882371,-1.3002803,-0.5979765,1.0089573
0.2179341,1.1921167,1.12864,4.2736874
-0.3771375,-0.5304692,-0.9816282,-0.8062531
0.3365904,0.31919903,0.85118043,-1.1449896
-0.59579134,0.01783862,-0.13807108,-0.5281187
-0.08290043,-0.4067537,-0.37595177,-0.5069794
-0.9769641,0.5630838,-0.89021355,0.6504419
1.6366532,-3.3739386,-2.990553,-0.980412
0.31573075,-0.3116634,0.25559762,-0.41023028
-0.27454022,0.26262304,0.069112554,-0.104629084
0.61135024,0.40615228,0.4816495,-1.0004514
0.22238663,-0.21229668,0.9994349,0.7288863
0.26233932,-2.1919246,-1.4519397,0.91797453
-0.5388052,-0.25973183,0.29494923,-0.5793154
-1.0061331,-1.9480801,-0.4738263,-0.7759688
-1.5059063,1.4531325,2.1201,1.5130066
-0.053639248,-0.45104638,-0.06037136,-0.5886203
0.41628405,-0.760355,-1.4459878,0.31086072
-1.8146539,-2.0518072,-4.1834345,-0.24250144
-1.0878563,-0.3771151,-0.5749582,-0.34715238
0.9352132,0.9385735,1.351208,-1.0969627
0.49406838,-0.44412613,0.8980971,0.53821224
0.10237344,0.0023704164,-2.0189178,0.32543004
-2.3131576,0.08798115,-2.6936498,0.94584626
-0.6431389,-0.12444957,0.9480518,-0.89459705
-0.021629464,-2.39357,-2.4933262,0.772059
1.2784501,-0.67485976,-0.98161435,-0.48770535
-0.4847881,0.49746445,0.89983165,-0.44678062
-0.19862747,0.24304935,-0.35839552,-0.31187803
-0.13952208,-0.8602201,0.29921794,-0.8980352
-0.6922345,0.15334971,0.5111332,-0.91161954
-0.47688305,-2.7815373,-3.3114345,-0.7195011
0.17331338,-0.25952232,0.0727393,-0.35555494
-1.4020557,-0.6054152,-0.25168648,-0.67444897
-0.7308339,0.43904805,0.2550896,-0.112050846
-0.41809174,0.0661015,0.92943984,-1.0369648
-0.8429625,-0.17220841,-0.14243197,-0.69158614
-0.6577437,0.036395468,0.4131442,-0.56032073
-1.0149217,1.1716098,0.344507,-0.50451344
-0.58540803,0.20820148,0.36769608,-0.48551756
0.12672463,0.7459858,-0.36789984,-0.10089627
-0.6897831,-0.7641009,-1.6489512,0.17020288
-0.10678518,0.46196377,-0.8451987,1.1650122
0.6790484,0.62060255,-0.7260322,-0.13165845
0.101080164,-0.009657708,1.1890326,-0.81706166
-0.24323964,0.19196866,0.8648423,-0.607563
-0.31483892,-1.9825664,-2.184493,-0.7028437
0.19013232,0.83640254,1.4918913,-0.23398665
0.39904854,-0.8880671,0.27449465,-0.5985403
-0.6271626,-0.84607947,0.41499898,-0.6778555
0.3111808,0.64025134,0.5469321,-0.46442288
-0.89438385,1.2062533,-0.7298664,-0.09984818
-0.7750492,-2.0225463,-3.1356149,-0.028186139
-0.2374457,-1.126316,-0.89699596,-1.305694
-0.23280106,0.07009198,0.91404265,-0.6510228
-0.2903132,0.4369477,-1.257245,0.22786072
1.2009649,0.44057485,-0.8493502,-0.63307977
0.27198565,0.017500885,-0.65718865,0.6945021
0.9457386,-1.5127158,0.70978296,2.631109
-0.13523032,0.35394734,0.056075763,-0.4909542
-0.45857945,0.40950933,0.9330814,-0.9198036
-1.2171419,0.25372037,0.43295252,-0.4220356
-0.5646861,-1.3134791,-0.90910685,-0.6204295
-0.5479461,0.04508546,0.46404508,0.024395693
-0.99447954,0.073697716,0.36184376,-0.75219774
1.4632062,-0.73714435,0.34383473,-0.586339
1.6581903,-0.71030915,1.0232242,-0.41261506
0.98564017,1.9574418,2.6773338,-1.9617653
0.2172994,0.12618794,0.45718396,-0.63288784
-0.43222556,0.09570007,-0.0072883526,-0.47026336
-0.3025376,-0.47913027,0.97531664,-0.85311717
0.49974486,-1.4810116,-1.5933052,1.3054918
-0.3452575,-0.80015033,-0.70628023,0.06932184
0.070912935,1.3225764,1.940175,-1.1098492
-0.72982216,-0.1291137,-0.14377591,-0.06084169
1.5831083,1.1188035,-0.36876863,1.1085097
0.22010736,0.3701427,0.565636,-0.07467915
-0.5575485,-0.7972586,-1.2142396,-0.71613187
-1.7328955,0.5476352,-1.0247563,-0.037517067
0.23173925,-1.200819,-0.9039588,-0.11336848
-0.107177176,-1.7616861,-1.9746255,0.84636825
-0.96003795,-0.07454358,-0.040011853,-0.5101808
-0.76553553,-0.60458165,-1.3783607,-0.53123385
