feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7
-0.071441606,-0.08365185,1.5616324,0.31090707,0.44083536,-0.06974446,0.08988815,-0.029025218
1.7752752,1.4189165,-1.2144158,2.6606805,0.69497275,2.1516113,0.6502813,0.3746096
0.7590079,0.7815958,-0.25442052,0.90260524,-0.027761085,0.59327775,-0.3390588,-0.6996379
0.23586684,0.08084143,0.0070449524,0.11750328,-0.040307872,0.073064364,0.014474514,0.039892677
0.7446869,-0.38505346,0.12302516,-0.3569079,-0.42273203,-0.5361627,-0.20147903,0.08160178
1.8045154,1.6251874,0.41889405,0.7751416,0.32918,-0.03446802,0.0061952537,-0.2727228
0.8207295,-0.23709558,-0.12664936,-0.30495572,0.2903587,-0.9176548,0.2591383,-0.8700655
-0.576042,-0.8778103,-0.33401918,-0.032357913,0.16473044,-0.64845467,0.34758747,0.57955533
0.29802755,-0.2881325,-0.671224,-0.0013006971,0.92712605,-0.49620596,0.38578185,-0.37659317
1.2029787,0.04508796,-0.8577109,1.2112195,-0.37939504,0.20455256,-0.23152551,-0.9620109
-1.7892146,-1.5412028,-0.41690218,0.6799762,0.5569538,-1.2180692,-0.26965636,0.45305336
-0.5095507,0.22222547,0.4834353,-0.37768573,1.1187704,-0.59996367,-0.54732454,0.6941832
-0.9715573,-0.8622944,0.503736,0.12666161,0.21214373,-0.5508854,0.24824663,0.12422762
1.1518408,-0.14350122,-1.9273217,0.36642966,-0.47164968,-0.034073304,0.1054618,0.24387117
0.46598014,-0.54849964,-0.17975701,0.049490828,-0.066223495,-0.6411955,0.09233595,-0.5247294
0.32544503,-0.25783682,0.28264126,-0.7557629,0.27045456,-0.5858238,0.43990642,0.54868084
-0.44306818,-0.45913696,0.3858232,-0.014493315,0.40226004,-0.33224407,0.12736973,-0.015215314
0.5194077,-0.105528794,-1.08642,0.41312674,-0.18587299,0.16038206,0.0007078265,0.18370081
0.19592854,0.007030084,0.034357034,0.027721828,0.009955411,-0.022201337,0.029400522,0.029787643
1.1039814,0.5619377,-0.41385725,1.0507073,-0.5478379,0.477948,-0.7457062,-0.40283343
-0.015152914,0.16876225,-1.2558247,-0.39176035,0.17441848,-0.66359633,-1.0078398,0.4255153
0.5951278,-0.5713921,0.500256,-0.3506884,-0.58961904,-0.57137257,-0.124760106,0.28203997
