selected_0,selected_1,selected_2,selected_3,selected_4,selected_5,selected_6,selected_7
0.11657376,0.3829904,0.14719239,0.87136024,0.4406975,0.2500636,0.11661238,-0.013937898
-0.7391847,1.1081434,-0.0023315353,-1.7997048,-1.2895455,-0.47807226,-1.6256533,-0.50834227
-0.06059183,1.8746976,-0.5817526,-1.0278147,-0.36388496,0.050674707,-0.02604041,-0.6617791
0.08411702,0.14243801,-0.095794536,-0.119280525,-0.019952888,-0.057852972,-0.036517803,-0.021993265
0.19926006,0.3182886,-0.7151599,0.12710783,-0.25280938,-0.44294813,-0.023910932,-0.46844485
-0.98909724,1.2430512,-0.03116068,-0.80334485,-1.1406635,-0.09879971,-0.058539297,-1.5489249
0.5490319,1.2772231,0.25903058,-0.2587385,-0.2735999,-0.88608557,-0.1269948,-0.29365954
-0.38282254,-0.7363595,0.46830398,0.42785576,0.77450204,0.027930012,-0.41775027,0.6602819
0.24218883,0.6299656,0.894636,-0.61893094,0.24057154,-0.5270845,-0.52321595,0.6180712
0.026982155,1.9672413,-0.4481292,-1.0960279,-0.50587326,-0.4257888,0.5025427,-0.5921099
-0.77360594,-1.1178585,1.0485368,0.03879474,1.6189853,0.16124453,-0.810681,0.98245513
-0.9181953,-1.3393219,0.44245484,0.36380905,0.7372071,0.29870042,-0.88013864,0.022939939
-0.2088181,-0.4709388,0.3507869,0.9314145,1.237699,0.66732407,0.06365678,0.71115386
-0.3162768,0.83122665,-0.6457058,-1.2798324,-0.7000154,-0.5600381,0.08303628,-0.24574639
0.4429006,0.7173434,-0.17518489,-0.18626335,-0.17388262,-0.68829477,-0.075175464,-0.22938587
-0.1183001,-0.49822196,0.12923461,0.5510173,0.18605837,-0.17772932,-0.46038288,-0.0035642064
0.049104773,-0.011270638,0.45146546,0.47743332,0.6570104,0.28381845,-0.06783878,0.5279035
-0.31290537,0.24673826,-0.23929077,-0.7299989,-0.35030115,-0.2056157,0.027316578,-0.09396632
0.12060665,0.094666906,-0.048689984,-0.050460327,-0.057468798,-0.1174134,-0.10230155,-0.037660565
-0.25753623,1.649087,-0.84562737,-0.95968753,-0.54711646,0.22596514,0.16784522,-0.9080114
-0.8683484,-0.04596124,-0.62107,-0.745524,0.24338746,0.35629505,-0.2907381,-0.5541861
0.119932465,0.09176474,-0.63561976,0.29356372,-0.113151915,-0.34233326,0.024715854,-0.4301807
-0.02151925,0.21396641,-0.48695943,0.19754098,0.09456026,0.3078124,0.26419106,-0.3394598
-0.2983954,0.3337137,-0.5545061,-0.53873086,-0.8706716,-0.5801843,0.14253698,-0.33880597
0.22095479,0.21228291,-0.50918394,0.1664,0.15044533,-0.04278858,0.06270381,-0.12870076
-0.33207124,-1.0289984,-0.22150952,1.3884953,0.55201125,-0.45117128,-0.6915008,-0.75075465
-0.5361587,0.50988,-0.19054523,-0.8047651,-0.68729997,-0.09509793,-0.56988937,-0.35391265
-0.14011711,0.7004813,-0.3022854,-0.6660047,-0.53604734,-0.3386857,0.3758232,-0.16947924
0.44230202,0.8529379,-0.58691293,0.0071642613,-0.32144755,-0.39182293,0.15711218,-0.3746511
-0.5278321,0.28336206,0.08418952,-0.7595938,-0.2912515,-0.0010064534,-0.18094985,0.02362506
0.068635404,0.2231263,-0.47064096,0.16142756,0.26157197,0.2880249,0.27290487,-0.10042278
0.2733286,0.55078936,0.011514283,-0.41820195,0.4022706,-0.21232969,-0.23489515,0.062122766
-0.057634864,1.1561635,1.2279339,-1.0973562,0.63832146,-0.36957318,-0.6712699,0.65384907
-0.2805613,-0.22630079,0.27854937,0.8214785,2.220085,0.5186601,-0.8869991,0.28245622
